Fornecedor:EDP,formula2
Fornecedor:Jomar,formula1
Fornecedor:Endesa,formula3
Casa: Jacinta, "519253457", Endesa
Casa: Ines, "991152782", Jomar
Casa: Jacinta, "918693835", EDP
Casa: Miguel, "667959374", Endesa
Casa: Rafael, "623982874", Endesa
Casa: Manel, "926892894", Jomar
Divisao: Sala
SmartBulb: "0621572", Warm, 4.15693820072508
SmartSpeaker: "7829197", 82, RTP Marshall
SmartSpeaker: "4203862", 54, NovaEra Marshall
SmartBulb: "0176694", Neutral, 2.2122800630099926
SmartCamera: 4.455576909848231e7, 85134.60264100615, 69402.46317710575
SmartSpeaker: "4896124", 64, RTP Sony
SmartCamera: 8.018010365884246e7, 72766.43591780431, 86419.68790825845
SmartCamera: 6.255118043254765e7, 32128.39025256642, 11420.695658342358
SmartCamera: 6.00735043134857e7, 78893.30698475012, 42374.33002457739
SmartBulb: "5357138", Neutral, 2.1866207273617153
SmartCamera: 5.5435015695665255e7, 32226.85144909883, 8883.079836282059
SmartBulb: "1278226", Cold, 5.238904451991106
SmartSpeaker: "0651663", 43, RFM Marshall
SmartBulb: "4757103", Warm, 6.2608486140273865
SmartBulb: "4638155", Cold, 4.841556307704896
SmartCamera: 5.525018542436593e7, 81783.7618799634, 99444.10416137944
SmartSpeaker: "9029951", 70, RadioPopular LG
SmartBulb: "4210733", Warm, 3.599249367308259
SmartBulb: "0979887", Neutral, 5.321740087006637
SmartSpeaker: "0258477", 36, RTP Marshall
SmartBulb: "2745931", Warm, 3.0814562882579155
SmartSpeaker: "4025196", 69, RTP LG
SmartSpeaker: "9269066", 16, NovaEra LG
SmartCamera: 4699461.281615329, 26264.131789782114, 41546.92083259773
SmartSpeaker: "1696316", 37, RFM Marshall
SmartCamera: 9.802291973535445e7, 3376.240605557343, 60473.10741300226
SmartSpeaker: "7882604", 48, RFM Marshall
